file,identified,score
demo-network-latency_cusum_graphsketch-gpt52-run1,no,5
demo-network-latency_cusum_graphsketch-gpt52-run10,no,5
demo-network-latency_cusum_graphsketch-gpt52-run2,no,5
demo-network-latency_cusum_graphsketch-gpt52-run3,no,5
demo-network-latency_cusum_graphsketch-gpt52-run4,no,5
demo-network-latency_cusum_graphsketch-gpt52-run5,no,5
demo-network-latency_cusum_graphsketch-gpt52-run6,no,5
demo-network-latency_cusum_graphsketch-gpt52-run7,no,5
demo-network-latency_cusum_graphsketch-gpt52-run8,no,5
demo-network-latency_cusum_graphsketch-gpt52-run9,no,5
demo-network-latency_cusum_graphsketch-gpt52,no,5
demo-network-latency_cusum_timecluster-gpt52-run1,no,10
demo-network-latency_cusum_timecluster-gpt52-run10,no,5
demo-network-latency_cusum_timecluster-gpt52-run2,no,10
demo-network-latency_cusum_timecluster-gpt52-run3,no,10
demo-network-latency_cusum_timecluster-gpt52-run4,no,10
demo-network-latency_cusum_timecluster-gpt52-run5,no,10
demo-network-latency_cusum_timecluster-gpt52-run6,no,5
demo-network-latency_cusum_timecluster-gpt52-run7,no,5
demo-network-latency_cusum_timecluster-gpt52-run8,no,10
demo-network-latency_cusum_timecluster-gpt52-run9,no,10
demo-network-latency_cusum_timecluster-gpt52,no,5
demo-network-latency_lightesd_graphsketch-gpt52-run1,no,10
demo-network-latency_lightesd_graphsketch-gpt52-run10,no,5
demo-network-latency_lightesd_graphsketch-gpt52-run2,no,5
demo-network-latency_lightesd_graphsketch-gpt52-run3,no,5
demo-network-latency_lightesd_graphsketch-gpt52-run4,no,10
demo-network-latency_lightesd_graphsketch-gpt52-run5,no,10
demo-network-latency_lightesd_graphsketch-gpt52-run6,no,5
demo-network-latency_lightesd_graphsketch-gpt52-run7,no,5
demo-network-latency_lightesd_graphsketch-gpt52-run8,no,10
demo-network-latency_lightesd_graphsketch-gpt52-run9,no,10
demo-network-latency_lightesd_graphsketch-gpt52,no,10
demo-network-latency_lightesd_timecluster-gpt52-run1,no,10
demo-network-latency_lightesd_timecluster-gpt52-run10,no,5
demo-network-latency_lightesd_timecluster-gpt52-run2,no,5
demo-network-latency_lightesd_timecluster-gpt52-run3,no,10
demo-network-latency_lightesd_timecluster-gpt52-run4,no,10
demo-network-latency_lightesd_timecluster-gpt52-run5,no,10
demo-network-latency_lightesd_timecluster-gpt52-run6,no,5
demo-network-latency_lightesd_timecluster-gpt52-run7,no,5
demo-network-latency_lightesd_timecluster-gpt52-run8,no,10
demo-network-latency_lightesd_timecluster-gpt52-run9,no,10
demo-network-latency_lightesd_timecluster-gpt52,no,10
