§ go tool pprof profiling/cpu_7.27.prof
Type: cpu
Time: Mar 23, 2021 at 10:12am (CET)
Duration: 28.09s, Total samples = 2.75s ( 9.79%)
Entering interactive mode (type "help" for commands, "o" for options)
(pprof) top500
Showing nodes accounting for 2.54s, 92.36% of 2.75s total
Dropped 91 nodes (cum <= 0.01s)
      flat  flat%   sum%        cum   cum%
     0.41s 14.91% 14.91%      0.41s 14.91%  runtime.madvise
     0.25s  9.09% 24.00%      0.25s  9.09%  syscall.syscall
     0.17s  6.18% 30.18%      0.17s  6.18%  runtime.memmove
     0.16s  5.82% 36.00%      0.16s  5.82%  runtime.pthread_cond_signal
     0.15s  5.45% 41.45%      0.15s  5.45%  runtime.memclrNoHeapPointers
     0.13s  4.73% 46.18%      0.82s 29.82%  internal/fmtsort.Sort
     0.13s  4.73% 50.91%      0.21s  7.64%  runtime.scanobject
     0.10s  3.64% 54.55%      0.10s  3.64%  runtime.pthread_cond_wait
     0.07s  2.55% 57.09%      0.07s  2.55%  runtime.(*gcSweepBuf).push
     0.06s  2.18% 59.27%      0.13s  4.73%  internal/fmtsort.compare
     0.06s  2.18% 61.45%      0.06s  2.18%  runtime.nanotime1
     0.06s  2.18% 63.64%      0.06s  2.18%  runtime.stkbucket
     0.05s  1.82% 65.45%      0.05s  1.82%  cmpbody
     0.05s  1.82% 67.27%      0.18s  6.55%  internal/fmtsort.(*SortedMap).Less
     0.05s  1.82% 69.09%      0.05s  1.82%  runtime.(*mspan).refillAllocCache
     0.05s  1.82% 70.91%      0.08s  2.91%  runtime.netpoll
     0.04s  1.45% 72.36%      0.04s  1.45%  runtime.usleep
     0.03s  1.09% 73.45%      0.03s  1.09%  runtime.(*mspan).init (inline)
     0.03s  1.09% 74.55%      0.06s  2.18%  runtime.greyobject
     0.03s  1.09% 75.64%      0.03s  1.09%  runtime.kevent
     0.03s  1.09% 76.73%      0.03s  1.09%  runtime.nextFreeFast (inline)
     0.03s  1.09% 77.82%      0.03s  1.09%  runtime.write1
     0.03s  1.09% 78.91%      0.08s  2.91%  strconv.genericFtoa
     0.02s  0.73% 79.64%      0.04s  1.45%  fmt.(*fmt).fmtS
     0.02s  0.73% 80.36%      0.05s  1.82%  fmt.(*pp).handleMethods
     0.02s  0.73% 81.09%      1.09s 39.64%  fmt.(*pp).printValue
     0.02s  0.73% 81.82%      0.02s  0.73%  reflect.flag.kind (inline)
     0.02s  0.73% 82.55%      0.02s  0.73%  runtime.(*itabTableType).find
     0.02s  0.73% 83.27%      0.02s  0.73%  runtime.findObject
     0.02s  0.73% 84.00%      0.02s  0.73%  runtime.heapBitsSetType
     0.02s  0.73% 84.73%      0.02s  0.73%  runtime.mapiterinit
     0.02s  0.73% 85.45%      0.02s  0.73%  runtime.markBits.isMarked (inline)
     0.02s  0.73% 86.18%      0.03s  1.09%  strconv.(*extFloat).ShortestDecimal
     0.01s  0.36% 86.55%      0.09s  3.27%  fmt.(*fmt).fmtFloat
     0.01s  0.36% 86.91%      0.02s  0.73%  fmt.(*fmt).padString
